artist;country;spotify_monthly_listeners;spotify_followers;spotify_total_streams;data_quality;source
Blanche Bailly;Cameroun;60566;78173;;high;Music Metrics Vault
Stanley Enow;Cameroun;23061;30125;;high;Music Metrics Vault
Aveiro Djess;Cameroun;53521;40278;;high;Music Metrics Vault
Magasco;Cameroun;47214;46710;;high;Music Metrics Vault
Damso;RDC;5900000;5900000;;high;Music Metrics Vault
Fally Ipupa;RDC;1400000;2000000;780300000;high;Music Metrics Vault
Innoss'B;RDC;281146;248335;;high;Music Metrics Vault
Ferre Gola;RDC;171261;395705;;high;Music Metrics Vault
Gaz Mawete;RDC;237675;223424;;high;Music Metrics Vault
Koffi Olomide;RDC;395071;693449;224100000;high;Music Metrics Vault
